titulo,precio,lanzamiento,clasificacion,multijugador,nombre,fecha_lanzamiento,exclusivo,calificacion_media
Endless Ocean,80.74,2022-11-21,T (Teen),False,Estrategia,2014-07-06,True,3.03
SingStar,64.45,2023-06-16,E10+ (Everyone 10 and Older),True,Action,2023-08-22,True,3.42
Ratatouille,78.92,2023-08-24,T (Teen),True,RPG,2023-09-21,True,3.77
The Sims 2: Pets,37.45,2023-11-23,T (Teen),False,Estrategia,2018-07-10,True,1.33
Two Worlds,55.17,2019-06-14,M (Mature),True,RPG,2016-08-24,True,4.68
Crash of the Titans,68.76,2017-07-10,RP (Rating Pending),True,MMORPG,2019-05-28,False,1.11
Sonic the Hedgehog,11.12,2018-10-21,T (Teen),True,Multiplayer,2019-05-31,False,4.84
Mega Man Star Force: Dragon,27.04,2018-06-16,AO (Adults Only),True,Action,2019-02-16,True,2.87
Sonic the Hedgehog,25.07,2023-12-15,E (Everyone),True,Action,2020-06-01,False,3.95
Harry Potter and the Order of the Phoenix,47.63,2022-10-18,RP (Rating Pending),False,Estrategia,2017-03-09,False,2.08
Nicktoons: Attack of the Toybots,19.3,2015-11-15,T (Teen),True,Action,2022-09-07,False,1.19
WWE Smackdown vs. Raw 2008,99.4,2024-03-10,AO (Adults Only),False,MMORPG,2019-04-25,True,1.85
The Simpsons Game,99.28,2023-01-29,EC (Early Childhood),True,Estrategia,2019-08-25,True,4.7
DiRT,31.49,2022-12-30,RP (Rating Pending),False,Multiplayer,2016-11-12,True,2.6
Kane & Lynch: Dead Men,59.06,2017-07-12,T (Teen),False,MOBA,2017-03-03,True,2.94
Jam Sessions,89.51,2022-04-01,E (Everyone),False,MOBA,2018-04-17,False,2.6
Monster Hunter Freedom 2,50.34,2023-12-19,EC (Early Childhood),True,Multiplayer,2016-11-20,False,2.5
Shadowrun,35.89,2015-03-09,E (Everyone),True,Estrategia,2017-12-20,False,1.99
Thrillville: Off the Rails,35.67,2018-04-25,E10+ (Everyone 10 and Older),True,FPS,2019-12-04,True,2.47
Tony Hawk's Proving Ground,18.44,2017-03-31,M (Mature),True,Aventura,2017-06-18,True,1.89
My Word Coach,88.19,2020-09-27,RP (Rating Pending),True,RPG,2022-09-23,True,3.75
The World Ends With You,94.59,2023-12-09,AO (Adults Only),True,MOBA,2020-10-01,True,3.26
The BIGS,49.93,2023-05-28,AO (Adults Only),False,Estrategia,2017-11-30,True,1.45
NCAA Football 08,46.28,2018-09-22,AO (Adults Only),False,Action,2014-11-05,False,3.19
Final Fantasy Tactics A2: Grimoire of the Rift,86.83,2019-02-14,E10+ (Everyone 10 and Older),False,MMORPG,2021-08-08,True,1.46
Beowulf: The Game,56.13,2022-06-03,RP (Rating Pending),True,RPG,2014-06-20,False,3.96
The Darkness,84.82,2018-05-08,E (Everyone),False,Estrategia,2018-03-03,True,2.83
Tom Clancy's Ghost Recon: Advanced Warfighter 2...,88.91,2014-10-09,T (Teen),False,RPG,2020-01-28,False,2.02
Final Fantasy,43.86,2021-05-31,E (Everyone),False,RPG,2019-04-06,True,3.57
Lair,50.08,2016-01-17,E10+ (Everyone 10 and Older),True,MMORPG,2021-06-17,True,4.23
Transformers: The Game,16.44,2016-03-23,E10+ (Everyone 10 and Older),True,Multiplayer,2023-02-12,True,1.47
Command & Conquer 3: Tiberium Wars,89.51,2014-10-22,AO (Adults Only),True,MMORPG,2014-12-24,False,3.67
Overlord,50.2,2018-07-16,M (Mature),True,MMORPG,2016-07-21,True,2.86
Diner Dash,45.24,2022-07-30,E10+ (Everyone 10 and Older),True,Aventura,2016-04-19,True,3.51
Medal of Honor: Heroes 2,99.51,2021-11-21,AO (Adults Only),False,FPS,2023-07-26,False,2.35
MX vs. ATV Untamed,85.48,2021-06-07,AO (Adults Only),True,FPS,2020-03-10,False,2.59
Time Crisis 4,71.57,2014-06-07,EC (Early Childhood),False,MOBA,2014-08-23,False,1.07
Dragon Ball Z: Budokai Tenkaichi 3,76.0,2015-04-26,E (Everyone),True,Aventura,2023-11-12,False,2.13
Final Fantasy XII: Revenant Wings,50.23,2022-07-13,T (Teen),True,MOBA,2021-07-05,False,3.59
SOCOM: U.S. Navy SEALs - Tactical Strike,59.13,2019-08-28,RP (Rating Pending),False,Aventura,2019-06-12,False,4.22
Unreal Tournament III,77.47,2022-02-06,E (Everyone),True,FPS,2022-02-06,False,3.84
Bee Movie Game,92.78,2016-10-27,M (Mature),False,RPG,2020-04-03,False,2.58
Def Jam: Icon,35.21,2021-08-24,E10+ (Everyone 10 and Older),True,MOBA,2021-01-10,False,4.34
Transformers: The Game,15.42,2017-04-01,T (Teen),False,RPG,2020-07-03,False,1.28
TimeShift,46.68,2020-11-24,M (Mature),True,Estrategia,2019-08-27,True,4.2
SSX Blur,19.67,2022-09-02,T (Teen),True,MMORPG,2024-02-03,True,2.2
Bleach: The Blade of Fate,36.16,2023-01-21,E10+ (Everyone 10 and Older),True,Multiplayer,2014-07-10,False,3.36
EA Playground,85.02,2023-06-29,AO (Adults Only),False,Aventura,2019-04-21,False,3.79
Final Fantasy II,95.23,2018-05-02,EC (Early Childhood),True,MOBA,2022-11-22,True,2.11
The Eye of Judgment,38.09,2017-09-21,EC (Early Childhood),True,FPS,2016-09-01,True,1.32
MLB 07: The Show,93.65,2015-06-07,AO (Adults Only),False,Action,2019-01-25,True,1.2
Virtua Fighter 5,32.65,2016-03-05,M (Mature),False,FPS,2018-03-01,True,4.69
NiGHTS: Journey of Dreams,30.19,2015-01-26,E (Everyone),False,Estrategia,2016-02-09,False,1.7
Puzzle Quest: Challenge of the Warlords,57.39,2016-12-15,E10+ (Everyone 10 and Older),False,MOBA,2015-10-09,True,1.87
NBA Live 08,60.55,2023-07-17,E (Everyone),True,FPS,2018-01-23,False,1.27
Kane & Lynch: Dead Men,87.93,2022-02-19,M (Mature),True,MMORPG,2016-04-25,True,3.33
Crash of the Titans,13.1,2015-10-07,E (Everyone),False,Aventura,2023-02-21,True,2.25
Harry Potter and the Order of the Phoenix,98.1,2015-06-26,E10+ (Everyone 10 and Older),True,Multiplayer,2017-08-25,True,2.7
SimCity DS,67.65,2020-02-08,T (Teen),True,RPG,2018-01-23,True,2.65
Wario: Master of Disguise,10.21,2015-07-26,E (Everyone),True,Multiplayer,2016-09-18,False,2.51
No More Heroes,12.11,2018-10-02,RP (Rating Pending),True,MMORPG,2015-12-06,False,1.12
BlackSite: Area 51,22.01,2024-01-06,T (Teen),True,Action,2023-08-11,False,1.87
Shrek the Third,24.44,2021-04-07,M (Mature),True,RPG,2020-01-18,False,3.13
Shrek the Third,43.54,2017-09-10,M (Mature),False,RPG,2017-11-21,True,3.99
Surf's Up,96.76,2022-01-07,E10+ (Everyone 10 and Older),False,FPS,2017-11-14,False,1.4
MLB 07: The Show,78.03,2019-01-16,T (Teen),True,MMORPG,2017-08-31,True,4.94
TMNT,49.8,2021-02-02,E10+ (Everyone 10 and Older),True,FPS,2018-11-08,False,3.25
Spider-Man: Friend or Foe,67.48,2017-06-12,T (Teen),True,Aventura,2017-04-23,False,1.94
Contra 4,63.68,2019-11-13,AO (Adults Only),False,Estrategia,2019-10-28,False,3.54
Phoenix Wright: Ace Attorney - Trials and Tribu...,12.44,2024-03-13,RP (Rating Pending),False,MOBA,2014-10-12,False,1.54
Disney Pirates of the Caribbean: At World's End,26.09,2017-07-26,EC (Early Childhood),True,Estrategia,2019-11-15,False,2.19
Dragon Ball Z: Shin Budokai - Another Road,60.74,2021-10-22,AO (Adults Only),True,MMORPG,2017-08-29,False,3.18
Spider-Man 3,78.6,2022-05-01,E (Everyone),False,Aventura,2015-04-01,True,2.65
The Golden Compass,99.02,2022-07-26,EC (Early Childhood),False,RPG,2021-09-25,False,3.24
Stuntman: Ignition,37.49,2022-06-12,RP (Rating Pending),True,Aventura,2020-07-26,True,3.5
Chicken Shoot,49.28,2020-11-19,M (Mature),True,FPS,2018-10-15,False,2.12
Shrek the Third,79.87,2018-02-25,RP (Rating Pending),False,Action,2019-01-31,True,3.68
DK: Jungle Climber,91.94,2021-02-28,E10+ (Everyone 10 and Older),True,MOBA,2018-06-18,True,3.79
Dragon Quest IV: Chapters of the Chosen,97.9,2014-09-18,T (Teen),True,MOBA,2024-02-09,True,2.36
300: March to Glory,21.95,2022-10-28,E10+ (Everyone 10 and Older),False,MOBA,2019-03-17,True,2.24
Fire Emblem: Radiant Dawn,53.9,2023-10-16,E (Everyone),True,Aventura,2017-07-30,True,1.85
The Golden Compass,43.8,2024-01-28,E (Everyone),False,Action,2014-09-01,False,2.17
Manhunt 2,99.67,2022-09-17,EC (Early Childhood),True,Action,2015-02-17,True,1.76
NASCAR 08,46.87,2014-12-01,AO (Adults Only),True,FPS,2015-08-02,False,1.58
Virtua Tennis 3,19.78,2017-03-03,RP (Rating Pending),False,Aventura,2020-02-28,False,3.32
All-Pro Football 2K8,26.6,2015-12-14,AO (Adults Only),False,Estrategia,2017-03-28,True,1.33
Major League Baseball 2K7,28.78,2014-07-21,M (Mature),False,RPG,2015-01-13,False,3.23
The Warriors,74.78,2017-11-24,EC (Early Childhood),True,Estrategia,2020-04-30,True,4.03
Ghost Rider,65.77,2015-05-14,M (Mature),False,Estrategia,2024-03-23,True,2.54
Tony Hawk's Proving Ground,29.41,2017-03-30,M (Mature),True,Action,2018-01-12,False,4.62
Juiced 2: Hot Import Nights,18.14,2022-06-06,EC (Early Childhood),True,RPG,2014-10-07,True,1.57
Juiced 2: Hot Import Nights,83.69,2018-10-23,E (Everyone),True,Estrategia,2021-05-24,False,3.95
The Simpsons Game,89.19,2023-07-13,T (Teen),False,MOBA,2015-09-08,False,3.81
Syphon Filter: Logan's Shadow,41.52,2023-02-27,E10+ (Everyone 10 and Older),True,MMORPG,2019-05-25,True,4.29
Tiger Woods PGA Tour 08,83.28,2018-11-25,RP (Rating Pending),False,Aventura,2016-10-17,False,3.39
Ratatouille,22.88,2019-08-19,M (Mature),False,RPG,2023-07-07,True,4.29
Trauma Center: New Blood,94.15,2019-10-01,EC (Early Childhood),False,Action,2017-03-08,True,3.14
Hotel Dusk: Room 215,92.13,2021-08-28,RP (Rating Pending),True,MMORPG,2022-01-20,False,2.86
Mega Man ZX Advent,94.93,2022-09-28,E10+ (Everyone 10 and Older),True,FPS,2022-03-02,True,4.9
Silent Hill: 0rigins,72.56,2017-07-05,T (Teen),False,FPS,2020-10-16,False,4.6
Harry Potter and the Order of the Phoenix,37.57,2017-06-12,RP (Rating Pending),True,RPG,2016-06-10,True,3.51
NHL 08 ,77.56,2015-03-27,M (Mature),True,Action,2021-07-10,True,1.53
Castlevania: The Dracula X Chronicles,85.52,2014-08-06,EC (Early Childhood),False,RPG,2021-10-09,True,1.39
Tony Hawk's Proving Ground,10.75,2018-03-06,E10+ (Everyone 10 and Older),True,MOBA,2019-09-11,False,2.02
Jeanne d'Arc,92.04,2018-11-21,AO (Adults Only),True,Aventura,2019-05-20,True,4.51
BWii: Battalion Wars 2,99.79,2014-11-27,EC (Early Childhood),False,RPG,2016-06-15,True,1.74
Battlestations: Midway,47.36,2014-08-20,M (Mature),False,Estrategia,2020-04-20,True,1.28
Dragon Ball Z: Harukanaru Densetsu,74.83,2023-10-02,AO (Adults Only),False,MOBA,2016-03-27,False,1.65
Touch the Dead,29.8,2020-11-01,EC (Early Childhood),True,Aventura,2016-09-28,False,2.29
The Darkness,58.59,2017-10-30,AO (Adults Only),True,FPS,2017-08-13,True,1.85
Donkey Kong Barrel Blast,55.95,2014-08-19,M (Mature),False,MMORPG,2016-08-17,True,2.07
The BIGS,66.15,2019-03-15,E (Everyone),False,Aventura,2019-07-10,True,2.97
Armored Core 4,49.48,2016-11-01,EC (Early Childhood),True,MMORPG,2014-10-26,True,3.36
Etrian Odyssey,71.93,2021-12-24,M (Mature),True,RPG,2022-07-14,False,1.02
Ben 10: Protector of the Earth,90.05,2021-10-12,E10+ (Everyone 10 and Older),True,Action,2016-04-08,False,1.17
Tom Clancy's Splinter Cell: Double Agent,70.29,2014-11-07,T (Teen),False,RPG,2019-08-19,False,4.26
Looney Tunes: Acme Arsenal,64.49,2020-10-04,RP (Rating Pending),False,Estrategia,2018-06-27,False,4.18
Zack & Wiki: Quest for Barbaros' Treasure,54.99,2015-06-04,AO (Adults Only),False,Aventura,2021-10-13,False,4.0
Monster Jam,61.36,2018-09-26,T (Teen),False,Multiplayer,2019-08-03,False,1.58
Virtua Fighter 5,38.04,2014-06-16,RP (Rating Pending),True,Estrategia,2015-05-10,False,4.45
Lunar Knights,34.95,2021-09-13,E10+ (Everyone 10 and Older),False,FPS,2023-11-14,True,1.25
Enchanted Arms,74.34,2020-11-30,T (Teen),False,Estrategia,2019-12-16,False,4.56
F.E.A.R.: First Encounter Assault Recon,23.15,2021-02-09,M (Mature),True,Aventura,2019-07-11,True,1.85
Folklore,54.67,2022-02-22,AO (Adults Only),False,Multiplayer,2018-12-08,True,1.85
Juiced 2: Hot Import Nights,90.38,2022-04-18,AO (Adults Only),True,FPS,2017-01-01,False,3.28
The Elder Scrolls IV: Shivering Isles,34.51,2016-03-03,RP (Rating Pending),True,Multiplayer,2014-12-23,True,2.47
NHL 08,83.52,2023-06-21,M (Mature),False,Aventura,2018-04-18,True,3.69
NCAA 07 March Madness,99.26,2014-08-03,RP (Rating Pending),True,Action,2023-10-22,False,2.91
Rayman Raving Rabbids,98.16,2024-02-09,RP (Rating Pending),False,Aventura,2018-08-18,False,1.05
Viva Pi$?ata: Party Animals,12.36,2021-10-23,EC (Early Childhood),True,Action,2016-08-20,False,4.34
Warriors Orochi,66.74,2023-11-23,M (Mature),False,RPG,2015-04-27,False,2.27
Luminous Arc,11.82,2015-05-20,AO (Adults Only),True,Estrategia,2014-07-17,True,1.62
Picross DS,69.46,2019-12-08,AO (Adults Only),False,MMORPG,2014-09-18,True,2.7
Harry Potter and the Order of the Phoenix,94.13,2015-09-26,M (Mature),True,Estrategia,2022-08-19,False,2.05
College Hoops 2K7,49.23,2023-07-06,EC (Early Childhood),False,RPG,2021-09-06,False,4.61
The BIGS,75.4,2021-03-21,E10+ (Everyone 10 and Older),True,FPS,2016-09-30,True,2.02
Stuntman: Ignition,38.63,2017-11-16,RP (Rating Pending),False,Aventura,2017-03-12,True,2.94
Mortal Kombat: Armageddon,56.81,2023-05-11,M (Mature),True,MMORPG,2019-04-20,True,4.19
Def Jam: Icon,93.41,2021-05-24,M (Mature),False,Action,2015-07-31,True,3.19
Soulcalibur Legends,83.79,2020-11-11,RP (Rating Pending),False,Multiplayer,2022-04-22,False,1.98
Surf's Up,42.82,2022-11-02,E10+ (Everyone 10 and Older),False,MMORPG,2018-06-17,False,3.28
Planet Puzzle League,21.35,2022-12-15,M (Mature),True,MOBA,2014-06-11,True,3.41
DiRT,51.68,2021-01-07,E10+ (Everyone 10 and Older),False,MMORPG,2020-01-13,True,4.31
TMNT,28.76,2015-11-13,T (Teen),True,MMORPG,2019-06-22,True,4.16
Soldier of Fortune: Payback,14.01,2021-07-01,M (Mature),True,Aventura,2023-09-03,False,4.08
Dynasty Warriors: Gundam,33.86,2016-03-07,M (Mature),False,Aventura,2018-01-08,False,2.15
Disney Pirates of the Caribbean: At World's End,25.02,2019-01-06,AO (Adults Only),False,Multiplayer,2020-09-24,True,3.78
Bee Movie Game,87.84,2016-09-20,E10+ (Everyone 10 and Older),True,FPS,2022-07-21,False,1.75
Dynasty Warriors: Gundam,47.79,2014-07-15,E10+ (Everyone 10 and Older),True,RPG,2020-03-20,True,3.14
Golden Axe,46.88,2020-01-04,E (Everyone),False,RPG,2021-04-11,True,1.81
Dementium: The Ward,28.46,2015-09-01,E (Everyone),True,Aventura,2022-10-09,True,1.17
Rondo of Swords,44.15,2022-08-30,RP (Rating Pending),True,Aventura,2015-09-24,False,4.88
Disgaea: Afternoon of Darkness,68.24,2024-01-29,RP (Rating Pending),True,MMORPG,2015-11-26,False,4.96
NASCAR 08,45.59,2019-07-04,EC (Early Childhood),True,Aventura,2016-07-28,True,4.44
Dragon Quest Swords: The Masked Queen and the T...,32.21,2015-12-05,E10+ (Everyone 10 and Older),True,MOBA,2017-02-15,True,2.83
Call of Juarez,42.99,2014-05-10,T (Teen),False,Estrategia,2015-07-01,True,3.55
College Hoops 2K8,70.41,2021-11-09,M (Mature),True,MOBA,2020-12-31,False,3.75
Eternal Sonata,63.92,2015-08-15,M (Mature),True,Action,2021-11-24,False,2.06
Kingdom Under Fire: Circle of Doom,17.67,2021-10-04,AO (Adults Only),False,MMORPG,2023-04-04,False,4.91
Vampire Rain,95.21,2019-10-06,AO (Adults Only),True,RPG,2022-05-27,True,3.58
All-Pro Football 2K8,91.49,2021-03-24,M (Mature),True,Multiplayer,2018-05-09,True,1.11
Mercury Meltdown,70.4,2015-03-23,M (Mature),True,Estrategia,2022-07-16,True,1.23
Conan,88.5,2023-08-19,E10+ (Everyone 10 and Older),True,MOBA,2019-03-10,True,3.39
Godzilla: Unleashed,86.36,2017-10-08,AO (Adults Only),True,FPS,2019-10-18,True,4.17
NBA Live 08,84.87,2021-06-29,T (Teen),False,FPS,2021-01-07,True,2.25
Conan,48.26,2022-02-13,RP (Rating Pending),False,RPG,2019-01-16,True,4.52
Spider-Man: Friend or Foe,18.08,2022-07-06,RP (Rating Pending),True,Action,2019-07-23,True,3.73
College Hoops 2K8,47.99,2014-05-10,AO (Adults Only),False,MOBA,2015-10-02,False,1.64
NBA 08,42.5,2022-07-17,E10+ (Everyone 10 and Older),True,Aventura,2022-03-26,True,4.9
Thrillville: Off the Rails,91.04,2022-07-31,T (Teen),True,Action,2018-08-10,False,3.5
Geometry Wars: Galaxies,12.27,2021-03-27,AO (Adults Only),True,Aventura,2023-12-30,True,1.69
Rayman Raving Rabbids,73.13,2022-01-30,AO (Adults Only),False,Estrategia,2021-06-29,False,3.27
WordJong,17.26,2018-10-02,RP (Rating Pending),False,Aventura,2015-03-17,False,1.66
"Warhammer 40,000: Squad Command",87.18,2021-02-21,RP (Rating Pending),True,MOBA,2022-11-21,True,3.81
Beowulf: The Game,70.06,2017-05-02,EC (Early Childhood),True,RPG,2022-09-14,False,4.69
The Golden Compass,36.11,2014-06-06,E10+ (Everyone 10 and Older),False,MOBA,2016-07-04,True,3.24
Scarface: The World is Yours,40.13,2016-01-24,T (Teen),False,RPG,2023-07-15,False,1.36
Hot Wheels: Beat That!,18.01,2017-11-02,M (Mature),False,Multiplayer,2016-07-12,True,1.18
NHL 2K8 ,98.84,2023-04-29,E (Everyone),True,RPG,2015-12-21,False,4.6
NBA Street Homecourt,31.56,2022-01-10,AO (Adults Only),True,MOBA,2021-11-29,True,2.3
Geometry Wars: Galaxies,90.78,2014-07-14,M (Mature),False,MOBA,2023-03-27,True,2.0
Final Fantasy: Crystal Chronicles - Echoes of Time,87.59,2015-03-15,RP (Rating Pending),True,MMORPG,2016-12-28,True,3.46
Godzilla Unleashed: Double Smash,98.35,2021-10-30,AO (Adults Only),False,Action,2023-11-01,False,3.89
MX vs. ATV Untamed,45.91,2021-06-24,E (Everyone),True,RPG,2017-05-17,False,4.24
WWE SmackDown vs. Raw 2008,17.55,2023-01-01,M (Mature),True,RPG,2016-03-20,False,1.99
The BIGS,39.31,2023-03-30,M (Mature),False,MMORPG,2015-03-09,False,2.51
Brave Story: New Traveler,31.19,2021-05-18,AO (Adults Only),True,FPS,2014-08-29,False,1.62
WipEout Pulse,73.86,2014-07-28,RP (Rating Pending),True,Estrategia,2017-12-27,True,4.43
TimeShift,32.26,2022-04-16,M (Mature),False,Action,2023-09-09,False,4.61
Star Trek: Conquest,80.98,2022-08-15,RP (Rating Pending),True,FPS,2018-11-15,False,3.1
Beautiful Katamari,48.06,2016-11-23,T (Teen),True,Multiplayer,2018-07-30,True,3.34
Hour of Victory,26.11,2015-02-25,E10+ (Everyone 10 and Older),False,FPS,2022-04-11,True,1.23
Fantastic Four: Rise of the Silver Surfer,95.95,2021-04-23,M (Mature),False,Action,2020-10-24,True,2.96
SEGA Rally Revo,87.92,2015-04-26,RP (Rating Pending),True,Aventura,2018-04-01,False,3.39
7 Wonders of the Ancient World,72.62,2014-10-17,E10+ (Everyone 10 and Older),False,Multiplayer,2014-12-17,True,4.17
Draglade,70.31,2017-07-14,E10+ (Everyone 10 and Older),True,Multiplayer,2022-11-02,False,1.92
Final Fantasy Fables: Chocobo Tales,36.47,2021-05-23,RP (Rating Pending),True,Estrategia,2019-04-12,False,1.82
Marvel Trading Card Game,11.75,2018-09-13,RP (Rating Pending),False,MMORPG,2022-04-18,False,1.7
Crazy Taxi: Fare Wars,56.42,2022-12-21,EC (Early Childhood),True,RPG,2022-02-11,False,4.53
The Golden Compass,55.6,2019-07-09,EC (Early Childhood),False,Estrategia,2014-12-08,False,4.99
Harry Potter and the Order of the Phoenix,91.07,2020-04-05,T (Teen),False,Estrategia,2021-03-10,False,1.74
Bladestorm: The Hundred Years' War,80.36,2016-03-05,AO (Adults Only),False,Action,2020-08-11,True,2.06
Surf's Up,50.16,2021-11-23,E10+ (Everyone 10 and Older),False,RPG,2019-01-08,True,1.6
Blazing Angels 2: Secret Missions of WWII,36.92,2024-04-04,EC (Early Childhood),False,FPS,2016-11-24,True,2.42
InuYasha: Secret of the Divine Jewel,75.69,2022-07-26,AO (Adults Only),False,RPG,2016-09-22,False,3.77
The Settlers,49.79,2018-05-04,EC (Early Childhood),True,Estrategia,2019-09-03,False,3.95
Shrek the Third,28.29,2017-10-05,EC (Early Childhood),False,FPS,2014-06-26,True,2.46
Ratatouille,15.55,2024-03-09,E10+ (Everyone 10 and Older),True,Estrategia,2017-10-02,False,3.62
Soldier of Fortune: Payback,12.11,2018-04-05,E10+ (Everyone 10 and Older),True,Estrategia,2020-04-17,False,4.25
Heatseeker,12.94,2014-07-09,M (Mature),True,FPS,2023-11-22,False,1.04
NHL 2K8,46.72,2020-08-20,EC (Early Childhood),True,MOBA,2020-07-05,False,4.73
NCAA March Madness 08,79.73,2022-12-06,T (Teen),False,FPS,2018-04-23,False,3.56
Fantastic Four: Rise of the Silver Surfer,33.3,2020-06-04,AO (Adults Only),True,FPS,2023-12-20,False,1.82
Monster Madness: Battle for Suburbia,95.45,2014-07-19,E10+ (Everyone 10 and Older),True,MMORPG,2016-12-03,False,2.53
Pro Evolution Soccer 2008,78.59,2021-11-19,E10+ (Everyone 10 and Older),True,Action,2021-10-19,False,2.02
Blazing Angels 2: Secret Missions of WWII,66.65,2019-02-04,E (Everyone),False,MMORPG,2022-04-24,False,1.06
Cake Mania,73.54,2017-03-25,AO (Adults Only),False,MOBA,2017-11-20,True,3.85
River King: Mystic Valley,98.7,2023-04-25,EC (Early Childhood),True,RPG,2021-11-12,True,1.98
Touch Detective 2 1/2,76.8,2022-04-09,E (Everyone),False,MMORPG,2018-04-26,False,2.86
7 Wonders of the Ancient World,96.57,2024-03-15,E10+ (Everyone 10 and Older),True,RPG,2017-06-12,True,2.12
Brooktown High,95.31,2014-07-30,E (Everyone),False,Action,2016-10-20,False,3.55
Crush,94.33,2021-06-05,AO (Adults Only),False,Aventura,2017-03-28,True,1.88
Jackass: The Game,90.72,2022-01-29,E (Everyone),False,Aventura,2015-09-02,False,1.3
The Sims 2: Castaway,44.03,2014-04-29,E (Everyone),False,Multiplayer,2020-10-22,False,1.5
Test Drive Unlimited,36.94,2018-12-09,E10+ (Everyone 10 and Older),False,FPS,2022-12-16,False,2.68
Thrillville: Off the Rails,72.62,2023-05-08,T (Teen),True,MOBA,2023-10-16,False,2.92
Victorious Boxers: Revolution,76.69,2019-05-17,E (Everyone),False,FPS,2022-08-13,False,1.41
Bladestorm: The Hundred Years' War,35.9,2020-04-19,AO (Adults Only),False,FPS,2024-02-15,True,1.1
Looney Tunes: Acme Arsenal,95.71,2020-01-13,RP (Rating Pending),True,Estrategia,2020-03-13,False,4.29
SEGA Rally Revo,20.04,2014-12-10,RP (Rating Pending),True,MOBA,2021-11-05,False,4.71
Death Jr. and the Science Fair of Doom,71.27,2017-10-11,T (Teen),True,Multiplayer,2015-02-02,True,1.71
Indianapolis 500 Legends,86.48,2023-08-01,E (Everyone),True,MMORPG,2023-10-23,True,3.43
Worms: Open Warfare 2,66.44,2020-02-04,T (Teen),False,FPS,2020-07-05,True,3.17
Alien Syndrome,84.16,2018-11-11,M (Mature),False,MMORPG,2016-03-24,False,3.54
BlackSite: Area 51,93.2,2021-11-09,AO (Adults Only),True,Aventura,2019-11-09,True,3.52
Code Lyoko: Quest for Infinity,30.0,2018-07-04,E (Everyone),False,Aventura,2024-01-15,False,4.38
Super Swing Golf Season 2,56.11,2022-07-17,T (Teen),True,Action,2023-10-03,False,1.2
FlatOut: Ultimate Carnage,52.4,2021-08-03,E10+ (Everyone 10 and Older),True,MMORPG,2018-06-29,True,2.31
Zoids Assault,64.99,2020-04-05,T (Teen),False,Aventura,2022-05-23,True,4.04
Alien Syndrome,61.85,2021-07-15,E10+ (Everyone 10 and Older),True,Action,2015-07-08,True,3.96
Tetris Evolution,28.71,2015-08-22,E (Everyone),True,MOBA,2020-12-03,True,1.51
Heroes of Mana,43.2,2020-12-28,M (Mature),False,Action,2017-02-27,False,3.02
Myst,19.55,2016-07-10,EC (Early Childhood),False,Aventura,2017-07-13,False,1.97
Coded Arms: Contagion,89.55,2016-04-18,E (Everyone),False,FPS,2015-07-20,True,1.88
King of Clubs,94.76,2023-11-03,T (Teen),False,MOBA,2019-05-08,True,4.67
F.E.A.R. Files,81.24,2015-10-12,E (Everyone),True,Action,2015-04-09,False,3.63
Ontamarama,58.92,2024-04-09,E (Everyone),True,FPS,2020-01-27,True,1.99
Retro Game Challenge,23.66,2022-06-17,E (Everyone),True,RPG,2022-01-29,False,1.79
Ultimate Mortal Kombat 3,73.92,2019-07-30,M (Mature),False,FPS,2022-11-06,True,2.14
"Warhammer 40,000: Squad Command",63.41,2023-09-05,E10+ (Everyone 10 and Older),False,Action,2018-04-08,True,1.3
Juiced 2: Hot Import Nights,95.05,2019-03-20,RP (Rating Pending),False,MOBA,2014-06-08,True,2.34
Pursuit Force: Extreme Justice,84.03,2016-05-27,M (Mature),False,RPG,2014-10-11,True,4.05
Medal of Honor: Vanguard,34.08,2021-08-26,RP (Rating Pending),True,Aventura,2021-12-10,True,2.53
World Series of Poker 2008: Battle for the Brac...,39.74,2018-02-11,M (Mature),False,Multiplayer,2018-04-11,True,3.34
Pro Evolution Soccer 2008,54.37,2016-06-05,M (Mature),False,MMORPG,2016-06-12,True,1.32
Worms: Open Warfare 2,77.4,2020-08-26,M (Mature),True,FPS,2020-04-26,True,2.16
Surf's Up,44.15,2017-08-01,E (Everyone),True,Aventura,2018-07-25,True,3.86
Fantastic Four: Rise of the Silver Surfer,73.06,2017-08-05,EC (Early Childhood),True,MMORPG,2022-07-19,True,1.45
Brothers in Arms DS,36.8,2019-04-25,M (Mature),False,Estrategia,2017-04-03,True,2.0
Bubble Bobble Double Shot,21.75,2014-11-21,T (Teen),False,FPS,2022-07-11,False,4.39
Fantastic Four: Rise of the Silver Surfer,72.27,2015-08-26,EC (Early Childhood),False,FPS,2023-05-18,True,1.65
Zendoku,93.88,2016-01-05,E (Everyone),True,MMORPG,2022-10-25,False,1.19
Heatseeker,26.26,2014-10-18,RP (Rating Pending),False,Multiplayer,2017-05-20,False,2.2
Manhunt 2,70.56,2020-03-16,M (Mature),False,MOBA,2022-07-23,True,1.57
SWAT: Target Liberty,59.57,2022-02-02,EC (Early Childhood),False,FPS,2023-02-26,False,1.6
Anubis II,30.67,2021-11-30,E10+ (Everyone 10 and Older),False,FPS,2017-09-05,True,3.98
Barnyard,22.07,2020-03-10,AO (Adults Only),False,Aventura,2017-02-02,False,2.79
Escape from Bug Island,70.01,2015-10-02,M (Mature),True,MMORPG,2019-04-09,True,2.66
